APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit
2040031029,11/6/19,2019,3,22729 W DEL VALLE ST,LOS ANGELES ,91364,3,
2040031030,12/4/19,2019,3,22727 W DEL VALLE ST,WOODLAND HILLS ,91364,3,
2040031050,2/25/16,2016,3,22769 W DEL VALLE ST,LOS ANGELES ,91364,2,22
2040033033,2/10/16,2016,3,22431 W DEL VALLE ST,WOODLAND HILLS ,91364,3,
2107014004,4/21/20,2020,3,20327 W STAGG ST,LOS ANGELES ,91306,3,
2111016023,10/24/22,2022,3,21420 W VALERIO ST,LOS ANGELES ,91303,1,
2111025021,3/16/16,2016,3,7118 N JORDAN AVE,CANOGA PARK ,91303,2,9
2112024012,8/13/15,2015,3,7310 N ETON AVE,LOS ANGELES ,91303,2,
2121005006,8/11/15,2015,3,7325 N ENFIELD AVE,LOS ANGELES ,91335,1,
2126006014,2/13/15,2015,3,18561 W GAULT ST,LOS ANGELES ,91335,2,33
2126023007,8/15/13,2013,4,6819 N BAIRD AVE,RESEDA ,91335,2,7
2129035010,9/28/16,2016,3,18917 W GAULT ST,RESEDA ,91335,3,
2138013009,6/19/18,2018,3,7018 N ALABAMA AVE,LOS ANGELES ,91303,1,
2153025014,9/1/20,2020,3,5649 N MELVIN AVE,LOS ANGELES ,91356,2,
2153027017,1/26/17,2017,3,5836 N MELVIN AVE,LOS ANGELES ,91356,2,
2160004003,10/4/16,2016,3,18525 W CLARK ST,LOS ANGELES ,91356,1,
2161023015,8/15/22,2022,3,5165 N AVENIDA ORIENTE ,LOS ANGELES ,91356,2,
2182008020,7/19/07,2007,4,5114 N ENFIELD AVE,ENCINO ,91316,2,
2203017041,7/19/07,2007,6,7450 N LOUISE AVE,VAN NUYS ,91406,1,
2206035020,5/1/19,2019,6,16008 W CANTLAY ST,VAN NUYS ,91406,2,
2210020017,6/26/18,2018,6,14721 W BLYTHE ST,VAN NUYS ,91402,4,
2210020018,6/26/18,2018,6,14715 W BLYTHE ST,VAN NUYS ,91402,4,
2212010003,12/11/18,2018,6,14246 W ROSCOE ,VAN NUYS ,91402,2,
2214026021,7/15/14,2014,6,7941 N VENTURA CANYON AVE,Los Angeles ,91402,2,34
2216013038,6/23/17,2017,2,6830 N HAZELTINE AVE,VAN NUYS ,91405,3,
2216017011,3/12/19,2019,2,13921 W VANOWEN ST,LOS ANGELES ,91405,4,
2217007037,4/15/15,2015,6,14429 W VOSE ST,VAN NUYS ,91405,2,
2217011064,3/19/15,2015,6,6854 N TYRONE AVE,VAN NUYS ,91405,2,
2217014010,7/23/19,2019,6,6853 N HAZELTINE AVE,VAN NUYS ,91405,4,
2219023005,10/6/15,2015,6,6835 N VESPER AVE,VAN NUYS ,91405,1,
2219026021,8/9/13,2013,6,6906 N VESPER AVE,VAN NUYS ,91405,2,49
2219026052,8/9/13,2013,6,6908 N VESPER AVE,VAN NUYS ,91405,9,0
2221021005,11/21/16,2016,6,14912 W WYANDOTTE ST,VAN NUYS ,91405,6,10
2224004006,7/23/18,2018,6,16034 W SHERMAN WAY,VAN NUYS ,91406,4,
2224025013,6/25/20,2020,6,6855 N WOODLEY AVE,VAN NUYS ,91406,2,
2224028045,5/28/20,2020,6,15901 W VANOWEN ST,VAN NUYS ,91406,2,
2225009009,6/24/14,2014,6,16617 W VANOWEN ST,VAN NUYS ,91406,4,
2233030001,9/28/16,2016,6,16150 W VANOWEN ST,VAN NUYS ,91406,3,
2235002005,4/30/15,2015,6,6530 N SEPULVEDA BLVD,VAN NUYS ,91411,11,68
2236002012,3/2/21,2021,6,14802 W VANOWEN ST,VAN NUYS ,91405,4,
2236008001,7/23/15,2015,6,14614 W VANOWEN ST,VAN NUYS ,91405,2,
2236020017,6/25/15,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411,2,
2237002023,3/17/08,2008,6,14416 W VANOWEN ST,VAN NUYS ,91405,5,
2237020010,8/11/22,2022,6,14212 W GILMORE ST,VAN NUYS ,91401,2,
