"store_name","address","address2","city","state","zip5","county","Source","Location"
"Living Water","1130 S Western Ave","","Los Angeles","CA","90006","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Super Discount","3118 N Eastern Ave","","Los Angeles","CA","90032","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sw5 United Inc","2791 W Pico Blvd","","Los Angeles","CA","90006","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"CVS 11184","9375 San Fernando Rd","","Sun Valley","CA","91352","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Jumbo Market","3337 Division St","","Los Angeles","CA","90065","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"99 Cents Only Store 83","3612 W Sunset Blvd","","Los Angeles","CA","90026","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Bonton","501 N Centre St","","San Pedro","CA","90731","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Best Buy Meats","7108 Crenshaw Blvd","","Los Angeles","CA","90043","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"SUNSHINE LIQUOR","2619 W Florence Ave","","Los Angeles","CA","90043","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Whole Foods Market 10074","11737 San Vicente Blvd","","Los Angeles","CA","90049","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"GELSON'S MARKET 22","2725 Hyperion Ave","","Los Angeles","CA","90027","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"EL RECREO MARKET","2501 W Temple St","","Los Angeles","CA","90026","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Boru's Market","5957 S San Pedro St","","Los Angeles","CA","90003","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7-Eleven Store 41355H","9210 S Sepulveda Blvd.","","Los Angeles","CA","90045","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Elat Meat Market","8730 W Pico Blvd","","Los Angeles","CA","90035","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"El Rancho Michoacano Market","2930 Beverly Blvd","","Los Angeles","CA","90057","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Montclair Rancho Market","4217 Montclair St","","Los Angeles","CA","90018","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"T & J Market","9025 S Main St","","Los Angeles","CA","90003","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Family Dollar 12693","1014 E. Manchester Ave","","Los Angeles","CA","90001","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Y.s.t., Inc. 2655877","801 S Hoover St","","Los Angeles","CA","90005","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Quitanda Family Market","7219 Tampa Ave","","Reseda","CA","91335","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Larchmont Village Cfm","209 Larchmont Blvd","Lot #694","Los Angeles","CA","90067","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"4th Ave Liquor","2527 W 54th St","","Los Angeles","CA","90043","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Meadow Maid Market","5393 Alhambra Ave","","Los Angeles","CA","90032","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"HANNAM SUPER MKT","2740 W Olympic Blvd","","Los Angeles","CA","90006","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Carniceria La Flama","11957 Santa Monica Blvd","Ste 102","Los Angeles","CA","90025","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Hola Bargain","5526 S Central Ave","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Tapalchulteca","8640 Van Nuys Blvd","","Panorama City","CA","91402","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Chivas Farm Market","7902 S Broadway","","Los Angeles","CA","90003","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"La Mexicana Meat Market","5392 Poplar Blvd","","Los Angeles","CA","90032","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7 Eleven Store 35434 C","13003 Van Nuys Blvd","Ste M","Pacoima","CA","91331","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"CVS Pharmacy 2958","16461 Ventura Blvd","","Encino","CA","91436","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Beach City Market","2801 S Pacific Ave","","San Pedro","CA","90731","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Hope Mini Market","5300 S Hoover St","","Los Angeles","CA","90037","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Osi Foodmart","601 N Virgil Ave","","Los Angeles","CA","90004","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Alvin's Mini Market 1","5117 Avalon Blvd","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Circus Liquor & Market","7561 Laurel Canyon Blvd","","North Hollywood","CA","91605","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"FAMILY MEAT MARKET","8363 Reseda Blvd","Ste 4","Northridge","CA","91324","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"99 Cent Only Store 435","8750 Tampa Ave","","Northridge","CA","91324","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Family's Market","711 N Main St","Ste 102","Los Angeles","CA","90012","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Jons Marketplace 15","20151 Roscoe Blvd","","Winnetka","CA","91306","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Ashley Mini Market & 99 A›","4314 Ascot Ave","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Bank Of America CFM","121 S Hope St","","Los Angeles","CA","90012","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Melrose CFM","8400 Melrose Ave","","West Hollywood","CA","90069","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"DOLLAR TREE 6084","10639 Sepulveda Blvd","","Mission Hills","CA","91345","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Lucky 16 Market","545 Euclid Ave","","Los Angeles","CA","90063","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Glenoaks Liquor Store","9748 Glenoaks Blvd","","Sun Valley","CA","91352","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"H Mart Los Angeles, Llc","621 S Western Ave","Ste G03","Los Angeles","CA","90005","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Moller Retail, Inc. 6121","3625 Beverly Blvd","","Los Angeles","CA","90004","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sixtern Kim's Mart","3917 W 6th St","","Los Angeles","CA","90020","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Valley Indian Grocery And Boutique","21706 Devonshire St","","Chatsworth","CA","91311","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Toyin's African Market","9005 Sepulveda Blvd","","North Hills","CA","91343","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Grocery Outlet Of Canoga Park 433","8230 Topanga Canyon Blvd","","Canoga Park","CA","91304","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"54th St Market","2731 W 54th St","","Los Angeles","CA","90043","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Chanh Thai","421 Alpine St","","Los Angeles","CA","90012","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7-Eleven 16226B","1400 Westwood Blvd","","Los Angeles","CA","90024","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sunset Tm Market","5227 W Sunset Blvd","","Los Angeles","CA","90027","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Mommy's  Nutritional Center","312 N Gaffey St","Ste 100","San Pedro","CA","90731","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"VONS 2105","4365 Glencoe Ave","","Marina del Rey","CA","90292","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Giant Dollar","2300 W Olympic Blvd","","Los Angeles","CA","90006","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Superior Grocers 111","9801 Laurel Canyon Blvd","","Pacoima","CA","91331","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Lupitas Market","803 Cypress Ave","","Los Angeles","CA","90065","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Village Mini Mart","113 E 5th St","","Los Angeles","CA","90013","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7-eleven Store 39609A","10133 San Fernando Rd","","Pacoima","CA","91331","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Liquor Center Inc.","861 1/2 N Western Ave","","Los Angeles","CA","90029","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sam's Market","4103 S Hoover St","","Los Angeles","CA","90037","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Super Jordan","1449 Westwood Blvd","","Los Angeles","CA","90024","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Pavilions #2989 2989","14845 Ventura Blvd","","Sherman Oaks","CA","91403","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Culver City Farmers Market","3800 Main St","","Culver City","CA","90232","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Trimana Fresh Food Market","800 N Alameda St","","Los Angeles","CA","90012","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Raad Mart","5835 S Figueroa St","","Los Angeles","CA","90003","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Feli-mex Market","5341 N Figueroa St","","Los Angeles","CA","90042","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Alta Dena Market Drive Thru","16435 Vanowen St","Ste B","Van Nuys","CA","91406","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Snappy Food Mart","5205 W Imperial Hwy","","Los Angeles","CA","90045","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sh Liquor Market","4002 Avalon Blvd","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Arco 83615","8007 W Manchester Ave","","Playa Del Rey","CA","90293","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"ABC Nutritional Care 6","4827 Huntington Dr N","","Los Angeles","CA","90032","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7 Eleven Store 39759A","610 S Rampart Blvd","Ste 3","Los Angeles","CA","90057","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Los Primos Mini Market","4322 Beverly Blvd","","Los Angeles","CA","90004","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Union Liquor Market","1703 Beverly Blvd","","Los Angeles","CA","90026","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Las Alondras Mini Mart","4122 S Central Ave","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Zayna Mini Market","909 E 7th St","","Los Angeles","CA","90021","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"EL MEXICANO MARKET","6625 Avalon Blvd","","Los Angeles","CA","90003","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7 Eleven Store 23774 E","8707 Corbin Ave","","Northridge","CA","91324","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Jj Nutrition","13076 Van Nuys Blvd","","Pacoima","CA","91331","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"99 CENTS ONLY STORES  125","6235 York Blvd","","Highland Park","CA","90042","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Island Pacific Supermarket 20922","20922 Roscoe Blvd","","Canoga Park","CA","91304","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"TRADER JOES 7","10850 National Blvd","","Los Angeles","CA","90064","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"CRESCENT POULTRY, INC.","1000 E Washington Blvd","Ste 117","Los Angeles","CA","90021","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7 Eleven Store 38266 A","200 S Los Angeles St","Ste A","Los Angeles","CA","90012","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Marce Mini Mart","10032 S Hoover St","","Los Angeles","CA","90044","LOS ANGELES","USDA","Los Angeles (City, 2020)"
