,APN,TOC
0,5414007015,Tier 4
1,5406028127,Tier 3
2,5409016030,Tier 4
3,5407007040,Tier 3
4,5407022001,Tier 3
5,5406024031,Tier 3
6,5409012905,Tier 3
7,5414011006,Tier 4
8,5407008008,Tier 3
9,5407004902,Tier 3
10,5406024023,Tier 3
11,5414005070,Tier 4
12,5414016903,Tier 4
13,5406028043,Tier 3
14,5406028082,Tier 3
15,5406024029,Tier 3
16,5409008026,Tier 4
17,5407017026,Tier 3
18,5407009018,Tier 3
19,5406025034,Tier 2
20,5408019055,Tier 3
21,5409008909,Tier 4
22,5406024016,Tier 3
23,5406022065,Tier 2
24,5409015022,Tier 4
25,5406022072,Tier 2
26,5408015011,Tier 3
27,5408019032,Tier 3
28,5409006056,Tier 3
29,5409003012,Tier 3
30,5406028046,Tier 3
31,5406028121,Tier 3
32,5407009019,Tier 3
33,5407007008,Tier 3
34,5406030023,Tier 3
35,5407008007,Tier 3
36,5409013914,Tier 3
37,5406027900,Tier 3
39,5406028025,Tier 3
40,5408014001,Tier 4
41,5407023022,Tier 3
42,5406025044,Tier 2
43,5409005033,Tier 3
44,5406027012,Tier 3
45,5407017045,Tier 3
46,5407007036,Tier 3
47,5409006030,Tier 3
48,5407007020,Tier 3
49,5408030024,Tier 4
50,5406024002,Tier 3
51,5407006010,Tier 3
52,5414005011,Tier 4
53,5408024009,Tier 3
54,5408019046,Tier 3
55,5408033009,Tier 4
56,5409016005,Tier 4
57,5406025036,Tier 2
58,5408023002,Tier 3
59,5408032025,Tier 4
60,5414007011,Tier 4
61,5409019902,Tier 3
62,5409020910,Tier 3
63,5408027005,Tier 3
64,5408013013,Tier 4
65,5409005027,Tier 3
66,5406028009,Tier 3
67,5407012018,Tier 3
68,5407013007,Tier 3
69,5408025013,Tier 3
70,5414005021,Tier 4
71,5406028139,Tier 3
72,5409006014,Tier 3
73,5409012902,Tier 3
74,5407007033,Tier 3
75,5409018913,Tier 3
76,5414007006,Tier 4
77,5414005008,Tier 4
78,5407010002,Tier 3
79,5408016016,Tier 3
80,5406022103,Tier 2
81,5414013014,Tier 4
