Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
"060371011101","Block Group 1, Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","150","00","0015925",,,,,"06","037",,,"101110","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011101","Block Group 1",,,,63242
"060371011102","Block Group 2, Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","150","00","0015926",,,,,"06","037",,,"101110","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011102","Block Group 2",,,,56250
"060371011103","Block Group 3, Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","150","00","0015927",,,,,"06","037",,,"101110","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011103","Block Group 3",,,,99567
"060371011221","Block Group 1, Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","150","00","0015928",,,,,"06","037",,,"101122","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011221","Block Group 1",,,,120833
"060371011222","Block Group 2, Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","150","00","0015929",,,,,"06","037",,,"101122","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011222","Block Group 2",,,,90536
"060371012201","Block Group 1, Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","150","00","0015930",,,,,"06","037",,,"101220","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012201","Block Group 1",,,,55781
"060371012202","Block Group 2, Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","150","00","0015931",,,,,"06","037",,,"101220","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012202","Block Group 2",,,,59647
"060371012211","Block Group 1, Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","150","00","0015932",,,,,"06","037",,,"101221","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012211","Block Group 1",,,,52411
"060371012212","Block Group 2, Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","150","00","0015933",,,,,"06","037",,,"101221","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012212","Block Group 2",,,,44398
"060371012221","Block Group 1, Census Tract 1012.22, Los Angeles County, California","ACSSF","ca","150","00","0015934",,,,,"06","037",,,"101222","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012221","Block Group 1",,,,32106
