Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10060_001,SE_A10060_002,SE_A10060_003
"060371011101","15000US060371011101","Block Group 1, Census Tract 1011.10, Los Angeles County, California","Block Group 1, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014302",,,,,"06","037",,,,"101110","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,284,339
"060371011102","15000US060371011102","Block Group 2, Census Tract 1011.10, Los Angeles County, California","Block Group 2, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014303",,,,,"06","037",,,,"101110","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,226,388
"060371011103","15000US060371011103","Block Group 3, Census Tract 1011.10, Los Angeles County, California","Block Group 3, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014304",,,,,"06","037",,,,"101110","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,261,136
"060371011221","15000US060371011221","Block Group 1, Census Tract 1011.22, Los Angeles County, California","Block Group 1, Census Tract 1011.22, Los Angeles County, California","ca","150","00","ACSSF","0014305",,,,,"06","037",,,,"101122","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,616,180
"060371011222","15000US060371011222","Block Group 2, Census Tract 1011.22, Los Angeles County, California","Block Group 2, Census Tract 1011.22, Los Angeles County, California","ca","150","00","ACSSF","0014306",,,,,"06","037",,,,"101122","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,396,50
"060371012101","15000US060371012101","Block Group 1, Census Tract 1012.10, Los Angeles County, California","Block Group 1, Census Tract 1012.10, Los Angeles County, California","ca","150","00","ACSSF","0014307",,,,,"06","037",,,,"101210","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,133,767
"060371012102","15000US060371012102","Block Group 2, Census Tract 1012.10, Los Angeles County, California","Block Group 2, Census Tract 1012.10, Los Angeles County, California","ca","150","00","ACSSF","0014308",,,,,"06","037",,,,"101210","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404,169,1235
"060371012201","15000US060371012201","Block Group 1, Census Tract 1012.20, Los Angeles County, California","Block Group 1, Census Tract 1012.20, Los Angeles County, California","ca","150","00","ACSSF","0014309",,,,,"06","037",,,,"101220","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,216,164
"060371012202","15000US060371012202","Block Group 2, Census Tract 1012.20, Los Angeles County, California","Block Group 2, Census Tract 1012.20, Los Angeles County, California","ca","150","00","ACSSF","0014310",,,,,"06","037",,,,"101220","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,211,629
"060371013001","15000US060371013001","Block Group 1, Census Tract 1013, Los Angeles County, California","Block Group 1, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014311",,,,,"06","037",,,,"101300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,345,96
"060371013002","15000US060371013002","Block Group 2, Census Tract 1013, Los Angeles County, California","Block Group 2, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014312",,,,,"06","037",,,,"101300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,381,62
"060371013003","15000US060371013003","Block Group 3, Census Tract 1013, Los Angeles County, California","Block Group 3, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014313",,,,,"06","037",,,,"101300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,284,36
"060371013004","15000US060371013004","Block Group 4, Census Tract 1013, Los Angeles County, California","Block Group 4, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014314",,,,,"06","037",,,,"101300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,233,24
"060371014001","15000US060371014001","Block Group 1, Census Tract 1014, Los Angeles County, California","Block Group 1, Census Tract 1014, Los Angeles County, California","ca","150","00","ACSSF","0014315",,,,,"06","037",,,,"101400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,137,222
"060371014002","15000US060371014002","Block Group 2, Census Tract 1014, Los Angeles County, California","Block Group 2, Census Tract 1014, Los Angeles County, California","ca","150","00","ACSSF","0014316",,,,,"06","037",,,,"101400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,511,164
"060371014003","15000US060371014003","Block Group 3, Census Tract 1014, Los Angeles County, California","Block Group 3, Census Tract 1014, Los Angeles County, California","ca","150","00","ACSSF","0014317",,,,,"06","037",,,,"101400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,384,135
"060371021031","15000US060371021031","Block Group 1, Census Tract 1021.03, Los Angeles County, California","Block Group 1, Census Tract 1021.03, Los Angeles County, California","ca","150","00","ACSSF","0014318",,,,,"06","037",,,,"102103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,462,221
"060371021041","15000US060371021041","Block Group 1, Census Tract 1021.04, Los Angeles County, California","Block Group 1, Census Tract 1021.04, Los Angeles County, California","ca","150","00","ACSSF","0014319",,,,,"06","037",,,,"102104","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,683,173
"060371021042","15000US060371021042","Block Group 2, Census Tract 1021.04, Los Angeles County, California","Block Group 2, Census Tract 1021.04, Los Angeles County, California","ca","150","00","ACSSF","0014320",,,,,"06","037",,,,"102104","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,320,95
"060371021051","15000US060371021051","Block Group 1, Census Tract 1021.05, Los Angeles County, California","Block Group 1, Census Tract 1021.05, Los Angeles County, California","ca","150","00","ACSSF","0014321",,,,,"06","037",,,,"102105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,152,86
