Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"060371011101","15000US060371011101","Block Group 1, Census Tract 1011.10, Los Angeles County, California","Block Group 1, Census Tract 1011.10, Los Angeles County, California","CA","150","00","ACSSF","0027184",,,,,"06","037",,,,"101110","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65302
"060371011102","15000US060371011102","Block Group 2, Census Tract 1011.10, Los Angeles County, California","Block Group 2, Census Tract 1011.10, Los Angeles County, California","CA","150","00","ACSSF","0027185",,,,,"06","037",,,,"101110","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54763
"060371011103","15000US060371011103","Block Group 3, Census Tract 1011.10, Los Angeles County, California","Block Group 3, Census Tract 1011.10, Los Angeles County, California","CA","150","00","ACSSF","0027186",,,,,"06","037",,,,"101110","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83421
"060371011221","15000US060371011221","Block Group 1, Census Tract 1011.22, Los Angeles County, California","Block Group 1, Census Tract 1011.22, Los Angeles County, California","CA","150","00","ACSSF","0027187",,,,,"06","037",,,,"101122","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109786
"060371011222","15000US060371011222","Block Group 2, Census Tract 1011.22, Los Angeles County, California","Block Group 2, Census Tract 1011.22, Los Angeles County, California","CA","150","00","ACSSF","0027188",,,,,"06","037",,,,"101122","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104126
"060371012101","15000US060371012101","Block Group 1, Census Tract 1012.10, Los Angeles County, California","Block Group 1, Census Tract 1012.10, Los Angeles County, California","CA","150","00","ACSSF","0027189",,,,,"06","037",,,,"101210","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52818
"060371012102","15000US060371012102","Block Group 2, Census Tract 1012.10, Los Angeles County, California","Block Group 2, Census Tract 1012.10, Los Angeles County, California","CA","150","00","ACSSF","0027190",,,,,"06","037",,,,"101210","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50209
"060371012201","15000US060371012201","Block Group 1, Census Tract 1012.20, Los Angeles County, California","Block Group 1, Census Tract 1012.20, Los Angeles County, California","CA","150","00","ACSSF","0027191",,,,,"06","037",,,,"101220","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74082
"060371012202","15000US060371012202","Block Group 2, Census Tract 1012.20, Los Angeles County, California","Block Group 2, Census Tract 1012.20, Los Angeles County, California","CA","150","00","ACSSF","0027192",,,,,"06","037",,,,"101220","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45944
"060371013001","15000US060371013001","Block Group 1, Census Tract 1013, Los Angeles County, California","Block Group 1, Census Tract 1013, Los Angeles County, California","CA","150","00","ACSSF","0027193",,,,,"06","037",,,,"101300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68879
