Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10063B_001,SE_A10063B_002,SE_A10063B_003,SE_A10063B_004,SE_A10063B_005,SE_A10063B_006,SE_A10063B_007,SE_A10056B_001,SE_A10056B_002,SE_A10056B_003,SE_A10056B_004,SE_A10056B_005,SE_A10056B_006,SE_A10056B_007,SE_A18001_001,SE_A18001_002,SE_A18001_003,SE_A18001_004,SE_A18001_005,SE_A18001_006,SE_A18001_007,SE_A18001_008,SE_A18001_009,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,SE_A18009_001,SE_A18003_001,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10039B_001,SE_A10039B_002,SE_A10039B_003,SE_A10039B_004,SE_A10039B_005,SE_A10039B_006,SE_A10039B_007,SE_A10039B_008,SE_A10039B_009,SE_A10039B_010,SE_A10039B_011,SE_A10039B_012,SE_A10039B_013,SE_A10039B_014,SE_A10039B_015,SE_A10039B_016,SE_A10039B_017,SE_A10039B_018,SE_A10039B_019,SE_A10039B_020,SE_A10039B_021,SE_A10039B_022,SE_A10039B_023,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A18007_001,SE_A18007_002,SE_A18007_003,SE_A18007_004,SE_A18007_005,SE_A18007_006,SE_A18007_007
60371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California","Block Group 1, Census Tract 1011.10, Los Angeles County, California",CA,150,0,ACSSF,27184,,,,,6,37,,,,101110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371011101,,,447309,0,2094,2094,12124.58,0.172706978,,,,,,,,336,185,44,72,10,25,0,312,0,13,61,28,123,65,16,6,336,0,91,82,109,54,1110,33.70000076,336,0,13,61,28,188,16,6,24,,,,,,,,,,,,,,,,,,,,,,,,710,21,689,,,,,,,
60371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California","Block Group 2, Census Tract 1011.10, Los Angeles County, California",CA,150,0,ACSSF,27185,,,,,6,37,,,,101110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371011102,,,354405,0,1506,1506,11005.83,0.136836541,,,,,,,,294,177,102,9,6,0,0,252,24,47,27,26,60,36,25,7,294,0,114,69,69,42,1008,32.70000076,294,24,47,27,26,96,25,7,42,,,,,,,,,,,,,,,,,,,,,,,,507,0,507,,,,,,,
60371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California","Block Group 3, Census Tract 1011.10, Los Angeles County, California",CA,150,0,ACSSF,27186,,,,,6,37,,,,101110,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371011103,,,340691,0,1412,1412,10734.25,0.131541536,,,,,,,,119,65,33,0,0,21,0,119,0,0,0,0,31,23,65,0,119,0,56,25,38,0,1542,30.70000076,119,0,0,0,0,54,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,427,0,427,,,,,,,
60371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California","Block Group 1, Census Tract 1011.22, Los Angeles County, California",CA,150,0,ACSSF,27187,,,,,6,37,,,,101122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371011221,,,1590035,0,2072,2072,3375.055,0.613915972,,,,,,,,120,48,27,14,31,0,0,120,0,0,8,0,31,0,14,67,120,0,66,32,14,8,2001,23.60000038,120,0,0,8,0,31,14,67,0,,,,,,,,,,,,,,,,,,,,,,,,750,16,734,,,,,,,
60371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California","Block Group 2, Census Tract 1011.22, Los Angeles County, California",CA,150,0,ACSSF,27188,,,,,6,37,,,,101122,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371011222,,,1054007,0,1512,1512,3715.404,0.406954395,,,,,,,,30,7,0,23,0,0,0,30,0,0,0,0,11,0,12,7,30,0,11,12,7,0,1667,36.70000076,30,0,0,0,0,11,12,7,0,,,,,,,,,,,,,,,,,,,,,,,,506,15,491,,,,,,,
60371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California","Block Group 1, Census Tract 1012.10, Los Angeles County, California",CA,150,0,ACSSF,27189,,,,,6,37,,,,101210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371012101,,,296513,0,2775,2775,24239.13,0.114484314,,,,,,,,773,369,260,144,0,0,0,773,0,16,84,237,220,137,79,0,773,0,323,111,313,26,1056,38,773,0,16,84,237,357,79,0,0,,,,,,,,,,,,,,,,,,,,,,,,887,68,819,,,,,,,
60371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California","Block Group 2, Census Tract 1012.10, Los Angeles County, California",CA,150,0,ACSSF,27190,,,,,6,37,,,,101210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371012102,,,354178,0,3754,3754,27451.78,0.136748896,,,,,,,,1031,608,199,209,15,0,0,987,10,0,27,240,301,320,40,49,1031,0,382,278,327,44,1180,37.09999847,1031,10,0,27,240,621,40,49,44,,,,,,,,,,,,,,,,,,,,,,,,1337,23,1314,,,,,,,
60371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California","Block Group 1, Census Tract 1012.20, Los Angeles County, California",CA,150,0,ACSSF,27191,,,,,6,37,,,,101220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371012201,,,332199,0,1166,1166,9090.714,0.128262756,,,,,,,,191,93,47,27,24,0,0,191,0,0,33,45,22,25,42,24,191,0,73,62,56,0,1199,36.20000076,191,0,0,33,45,47,42,24,0,,,,,,,,,,,,,,,,,,,,,,,,438,0,438,,,,,,,
60371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California","Block Group 2, Census Tract 1012.20, Los Angeles County, California",CA,150,0,ACSSF,27192,,,,,6,37,,,,101220,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371012202,,,366768,0,1585,1585,11192.72,0.141609923,,,,,,,,516,244,143,114,15,0,0,478,6,49,96,135,114,48,0,30,516,0,164,131,147,74,933,42.59999847,516,6,37,108,135,162,0,30,38,,,,,,,,,,,,,,,,,,,,,,,,742,20,722,,,,,,,
60371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California","Block Group 1, Census Tract 1013, Los Angeles County, California",CA,150,0,ACSSF,27193,,,,,6,37,,,,101300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060371013001,,,1380438,0,1188,1188,2228.934,0.532990114,,,,,,,,63,28,13,0,0,22,0,33,0,0,0,0,0,19,0,14,63,0,20,0,13,30,1467,27.10000038,63,0,0,0,0,19,0,14,30,,,,,,,,,,,,,,,,,,,,,,,,439,0,439,,,,,,,
